,Examples,Labels
509,aw i never noticed this ,neutral
510, that sucks well state starts tomorrow so im headin  bed nitey nite,neutral
511,looks like its going to be too nice to work today how annoying as i have no choice,worry
512, did you guys keep a set list i forgot to ask for one xx,neutral
513,first impression of silverlight sadly based on what i saw today its quite problematic,neutral
514,is desperatly hoping my dad takes me to vanessas game,worry
515, hi fuck your job,worry
516,missing you all deeply,sadness
517,the time you go to bed i have to get up to go to work,neutral
518, big now vanessa is going to be  in september its going by so fast its hard cuz im workin so much i miss out on alot,happiness
519, sniff sniff take care ravels hopefully well be chatting again soon in the mean time ill hella miss you,sadness
520, lucky now i want to teleport,neutral
521,somebody please save the polar bears,worry
522,my nose is runny my head is pounding and teeth hurt like a bitch man  i feel awful ,worry
523,i dont want her to leave,sadness
524,headin homerefreshed my mind and soul justa lil bitbac to reality,relief
525,good lord just seen the agency work for our upcoming open day money for jam,happiness
526,wut do i do now,empty
527,working but its friday,anger
528,at the grove for drag me to hell i hope that it doesnt suck,worry
529, so i feel like shit for saying happy belated birfdayy im only a month late,worry
530, lmaothats sad kinda discourages me rom goin if the shits wack,sadness
531,got home from work   and just finished cleaning now i need to eat dinner and dont know what i want ughoh well might not eat,surprise
532, i wish i was there,sadness
533,i miss my little batty she was only  months old when she got sick she was always so fun and full of life lt even at the very end,sadness
534,fc is finally up again its about time i hate that this keeps happening,neutral
535,seriously bored without anyone to talk to but not tired enough for sleep,neutral
536,morning again i hate mornings so offensive,sadness
537, still give your computer a break omg,neutral
538,bed bed bed  do you never answer texts anymore i thought of you the other day and sent one but never heard back sad day,sadness
539,where u at,neutral
540, waah were no longer your peeps,sadness
541, lol wow dawg doesnt sound like youre playing i feel bad now haha,sadness
542,extremly deep,surprise
543,my little foster kittens are getting bigchubba and winston are going  b missed when they get amazing homes,happiness
544,one week till exam block,enthusiasm
545, im not at home with my cats right now,neutral
546,hoping i didnt fail english that would just be sad,worry
547,know what would be great for my shoulder to stop hurting so i can sleep normal again i just wantneed a few solid hours of good sleep,worry
548,lenos last show was tonight i like him better than conan,neutral
549, im sorry about your bad driving experiences,sadness
550, i dont have any of that,neutral
551,already misses ,sadness
552,plan may changes  no,hate
553,my sister is a douchebag,hate
554, theres relisting fees when you dont complete a sale that sucks,surprise
555, random has an a,neutral
556,i knew i shouldve worn the sars mask on the plane from socal feeling the beginnings of a sore throat,worry
557,gutted that the bathroom still isnt free early work isnt going to happen  and i need the loo,sadness
558, july too long,neutral
559, aw i wish i could have been there im stuck here about to jab out my eyes with knitting needles,worry
560, me too wonder if mnet will show it,surprise
561,wearing glasses gives me a headache,neutral
562, stop talkin about food haha fill like sum nw hha hows your day goin or starting,enthusiasm
563,finished sewing for the night uploading pictures from slidebar and beach i cant believe i am having difficulties with twitter,worry
564,thank you   cant wait um btw ima crash still sick,sadness
565,first my work computer now my home laptop is fucked,sadness
566,liesgirlstell a guy calls her phone to see if the number is real  ohh my phone isnt working  try tomorrow ,worry
567,beer friday melbourne cbd mtub mini cmon thirsty and lonely  you buggers are making me feel like a scotty no mates,worry
568, i know we came back from  down in the st just to lose the lead in the last  minutes,worry
569,gosh summer vacation is almost over here at the philippines kinda sad i wonder what section will i be in,worry
570, but  is on page  at ms twitterworld only  votes,neutral
571,im bummed that i cant wear my sweet nike kicks to work,worry
572,  your twitter is broken,worry
573,sleepgood night tweeties down to oc tomorrow i hope and pray that rachyl gets better soon,neutral
574, its depressing im stuck inside all day,sadness
575, i even saw the news feeds of the archie website but cant believe hed choose veronica im disappointed,worry
576,i hate being sick i miss   and ,sadness
577, im eating sliders at barjohnnys theyre pork tho not beef still on the search,neutral
578,getting ready for school  second maths test today also its my last day of rd year next week i will officially be in th year,happiness
579,woke upi wanna stay in my bed,sadness
580,depressed that i wasnt included in the morcom gardens quiz on facebook,worry
581, yeah its still totally in the high s here so notlooking forward to aug and sept up here,worry
582,upsidedown tomato plants died,sadness
583,so deep its priecing my soul,boredom
584, oh come on you get next week off and i get next week full of exams,worry
585,friday here at last not much fun when your skint though,neutral
586, i know dont tell anyone i dont know if my dad told the famz yet i think im taking it online,worry
587, caant iht be earlier icant wait that long ahar ,sadness
588,friday yay and a bonus dont have to drive to wales tonight athough will miss kitten cuddles and going for a ride,happiness
589,my children have promised me birthday brekkie in bed theres a problem with that in that theres bugger all food in the house,worry
590, woops i only just realized my dms to you are not going through,worry
